STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
197,VPB,2.0,60,ACB,25360,60
198,NCB,2.0,65,ACB,25365,65
199,ICBV,2.0,60,ACB,25360,60
200,ACB,2.0,65,ICBV,25365,65
201,MSB,2.0,66,ACB,25366,66
202,ACB,3.0,70,BIDV,25370,70
203,OCB,2.0,67,ACB,25367,67
204,MSB,1.0,72,Indovina,25372,72
205,NCB,2.0,75,ABBK,25375,75
206,OCB,1.0,75,BVBH,25375,75
207,TCB,3.0,77,ABBK,25377,77
208,MSB,3.0,77,VPB,25377,77
209,TCB,3.0,75,BIDV,25375,75
210,NCB,1.0,79,VBAH,25379,79
211,VIB,2.0,80,SABH,25380,80
212,ICBV,2.0,77,VIB,25377,77
213,ACB,3.0,80,SABH,25380,80
214,BIDV,1.0,82,MSB,25382,82
215,BIDV,1.0,76,VCCB,25376,76
216,NCB,1.0,80,BIDV,25380,80
217,VCCB,1.0,83,ICBV,25383,83
218,ICBV,2.0,80,VCB,25380,80
219,ACB,3.0,73,MSB,25373,73
220,TCB,2.0,72,BIDV,25372,72
221,LVBT,5.0,8,SABH,25308,8
222,VNTT,5.0,0,ICBV,25300,0
223,BIDV,5.0,10,NCB,25310,10
224,SEAV,5.0,5,ICBV,25305,5
225,MB,4.0,98,VBAH,25398,98
226,VCB,1.0,96,Fubon,25396,96
227,ACB,1.0,96,Fubon,25396,96
228,Fubon,1.0,0,MB,25300,0
229,OCB,1.0,0,Fubon,25300,0
230,MSB,2.0,99,MB,25399,99
231,SABH,1.0,92,ACB,25392,92
232,Fubon,1.0,60,VPB,25360,60
233,TCB,2.0,63,VNTT,25363,63
234,VNTT,1.0,70,Fubon,25370,70
235,VNTT,2.0,70,MSB,25370,70
236,SABH,2.0,60,VNTT,25360,60
237,SABH,2.0,60,VNTT,25360,60
238,MSB,2.0,63,VNTT,25363,63
239,ICBV,2.0,61,VNTT,25361,61
240,VNTT,2.0,65,MB,25365,65
241,SABH,1.0,66,Fubon,25366,66
242,NCB,2.0,70,MB,25370,70
243,SABH,1.0,66,NCB,25366,66
244,TCB,3.0,63,VNTT,25363,63
245,Indovina,1.0,68,VCB,25368,68
246,VCB,1.0,68,VBAH,25368,68
247,TCB,20.0,60,ABBK,25360,60
248,VPB,20.0,60,TCB,25360,60
249,ICBV,2.0,61,TCB,25361,61
250,ABBK,5.0,65,MB,25365,65
251,TCB,5.0,65,LVBT,25365,65
252,HDB,1.0,66,VBAH,25366,66
253,HDB,10.0,65,NCB,25365,65
254,VNTT,3.0,50,MB,25350,50
255,MB,3.0,55,LVBT,25355,55
256,VCB,2.0,55,NCB,25355,55
257,MB,2.0,40,VCB,25340,40
258,VCB,2.0,55,MB,25355,55
259,MB,3.0,55,ACB,25355,55
260,BIDV,0.5,60,VNTT,25360,60
261,BIDV,0.8,58,Indovina,25358,58
262,VCCB,0.8,56,BIDV,25356,56
263,MSB,1.0,55,Fubon,25355,55
264,ABBK,2.0,52,MB,25352,52
265,MB,2.0,45,ABBK,25345,45
266,SEAV,2.0,45,ABBK,25345,45
267,TCB,5.0,45,MB,25345,45
268,ICBV,2.0,45,NCB,25345,45
269,MB,3.0,40,MSB,25340,40
270,ACB,2.0,33,SEAV,25333,33
271,MSB,2.0,27,NABV,25327,27
272,NCB,0.5,25,VPB,25325,25
273,OCB,0.5,20,NCB,25320,20
274,BVBH,3.0,15,SABH,25315,15
275,VNTT,3.0,15,SABH,25315,15
276,MSB,5.0,20,ABBK,25320,20
277,ABBK,5.0,19,OCB,25319,19
278,MSB,5.0,5,ABBK,25305,5
279,MSB,5.0,8,ABBK,25308,8
280,MB,5.0,10,ABBK,25310,10
281,MSB,5.0,5,SEAV,25305,5
282,MB,5.0,5,SEAV,25305,5
283,SEAV,5.0,10,OCB,25310,10
284,VPB,5.0,0,MSB,25300,0
285,VPB,3.0,10,NCB,25310,10
286,KLBV,2.0,0,MSB,25300,0
287,MSB,2.0,0,SEAV,25300,0
288,SHB,5.0,97,MB,25397,97
289,MSB,5.0,92,TCB,25392,92
290,NCB,5.0,50,VPB,25350,50
291,MSB,5.0,60,VPB,25360,60
