STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
297,OCB,5.0,15,MB,25315,15
298,ABBK,5.0,15,MB,25315,15
299,ABBK,3.0,19,Indovina,25319,19
300,NCB,3.0,13,ABBK,25313,13
301,ABBK,5.0,10,SEAV,25310,10
302,ACB,3.0,8,OCB,25308,8
303,MSB,5.0,0,SEAV,25300,0
304,NCB,3.0,2,MSB,25302,2
305,SHB,5.0,97,MB,25397,97
306,NCB,5.0,96,TCB,25396,96
307,MSB,5.0,92,TCB,25392,92
308,VNTT,5.0,0,TCB,25300,0
309,ABBK,5.0,95,TCB,25395,95
310,TCB,5.0,90,NABV,25390,90
311,SEAV,2.0,95,MSB,25395,95
312,MSB,5.0,80,VPB,25380,80
313,ABBK,2.0,93,VPB,25393,93
314,MSB,2.0,95,VPB,25395,95
315,ABBK,5.0,0,NCB,25300,0
316,MB,5.0,94,NCB,25394,94
317,OCB,2.0,5,BIDV,25305,5
318,MB,5.0,10,MSB,25310,10
319,SEAV,5.0,5,VPB,25305,5
320,VPB,5.0,10,ABBK,25310,10
321,VPB,5.0,10,OCB,25310,10
322,ABBK,3.0,15,ACB,25315,15
323,ABBK,7.0,7,HDB,25307,7
324,SABH,1.0,2,HDB,25302,2
325,ABBK,10.0,9,VNTT,25309,9
326,VNTT,10.0,20,OCB,25320,20
327,Fubon,2.0,20,BIDV,25320,20
328,ABBK,3.0,25,VPB,25325,25
329,VPB,1.0,18,Indovina,25318,18
330,ABBK,2.0,16,BVBH,25316,16
331,ICBV,5.0,15,TCB,25315,15
332,VPB,2.0,20,BVBH,25320,20
333,SHB,1.0,5,NCB,25305,5
334,ICBV,2.0,10,SHB,25310,10
335,SHB,2.0,8,MSB,25308,8
336,ABBK,2.0,10,MSB,25310,10
337,ABBK,1.0,23,Fubon,25323,23
338,MSB,1.0,23,VCCB,25323,23
339,MB,1.0,23,MSB,25323,23
340,MSB,3.0,22,VIB,25322,22
341,OCB,2.0,12,TCB,25312,12
342,ICBV,5.0,18,SEAV,25318,18
343,ABBK,5.0,20,SEAV,25320,20
344,OCB,2.0,10,NCB,25310,10
345,OCB,2.0,25,MSB,25325,25
346,SEAV,2.0,25,ABBK,25325,25
347,ABBK,2.0,30,OCB,25330,30
348,OCB,2.0,35,MB,25335,35
349,MSB,2.0,35,OCB,25335,35
350,VIB,3.0,30,MSB,25330,30
351,SEAV,5.0,30,MB,25330,30
352,OCB,10.0,30,SEAV,25330,30
353,SEAV,2.0,30,MSB,25330,30
354,MSB,3.0,32,MB,25332,32
355,MB,3.0,33,ABBK,25333,33
356,BIDV,3.0,32,SEAV,25332,32
357,ABBK,3.0,33,SEAV,25333,33
358,MSB,7.0,28,SEAV,25328,28
359,MSB,6.0,26,ABBK,25326,26
360,ICBV,7.0,30,SEAV,25330,30
361,OCB,2.0,20,ICBV,25320,20
362,MSB,2.0,23,ICBV,25323,23
363,ABBK,2.0,20,ICBV,25320,20
364,TCB,2.0,5,ICBV,25305,5
365,NABV,4.0,19,OCB,25319,19
366,NCB,2.0,17,BIDV,25317,17
